Country;Suicide Rate
India;1333
China;917
United States;1525
Indonesia;164
Pakistan;582
Nigeria;427
Brazil;778
Bangladesh;367
Russia;241
Ethiopia;617
Mexico;684
Japan;1747
Egypt;101
Philippines;377
DR Congo;812
Vietnam;801
Iran;434
Turkey;384
Germany;1231
Thailand;12
United Kingdom;847
Tanzania;566
France;1372
South Africa;153
Italy;644
Kenya;682
Myanmar;357
Colombia;674
South Korea;2581
Sudan;428
Uganda;584
Spain;773
Algeria;276
Iraq;441
Argentina;1047
Afghanistan;36
Yemen;356
Canada;1251
Poland;1515
Morocco;368
Angola;695
Ukraine;2317
Uzbekistan;896
Malaysia;517
Mozambique;928
Ghana;568
Peru;29
Saudi Arabia;787
Madagascar;631
Ivory Coast;705
Nepal;1307
Cameroon;716
Venezuela;811
Niger;355
Australia;1286
North Korea;1088
Syria;89
Mali;409
Burkina Faso;656
Taiwan;1604
Sri Lanka;1627
Malawi;831
Zambia;816
Kazakhstan;182
Chad;543
Chile;1061
Romania;1076
Somalia;578
Senegal;758
Guatemala;543
Netherlands;1123
Ecuador;851
Cambodia;454
Zimbabwe;1761
Guinea;502
Benin;532
Rwanda;736
Burundi;713
Bolivia;553
Tunisia;306
South Sudan;803
Haiti;718
Belgium;173
Jordan;107
Dominican Republic;539
United Arab Emirates;237
Cuba;1583
Honduras;39
Czech Republic;1256
Sweden;1232
Tajikistan;337
Papua New Guinea;228
Portugal;1162
Azerbaijan;25
Greece;522
Hungary;1691
Togo;788
Israel;515
Austria;1434
Belarus;2044
Switzerland;1172
Sierra Leone;509
Laos;523
Turkmenistan;972
Libya;552
Kyrgyzstan;925
Paraguay;58
Nicaragua;572
Bulgaria;133
Serbia;1591
El Salvador;832
Republic of the Congo;957
Denmark;1127
Singapore;775
Lebanon;94
Finland;1567
Liberia;666
Norway;1168
Slovakia;1234
Palestine;78
Central African Republic;1164
Oman;104
Ireland;841
New Zealand;1131
Mauritania;355
Costa Rica;985
Kuwait;197
Panama;528
Croatia;1431
Georgia;864
Eritrea;966
Mongolia;1459
Uruguay;2131
Puerto Rico;71
Bosnia and Herzegovina;107
Qatar;381
Moldova;1492
Namibia;1157
Armenia;553
Lithuania;2791
Jamaica;143
Albania;41
Gambia;558
Gabon;967
Botswana;972
Lesotho;2057
Guinea-Bissau;849
Slovenia;1712
Equatorial Guinea;689
Latvia;1942
North Macedonia;791
Bahrain;428
Trinidad and Tobago;1382
Timor-Leste;408
Estonia;1519
Cyprus;404
Mauritius;1096
Eswatini;1842
Djibouti;563
Fiji;889
Comoros;63
Guyana;3126
Solomon Islands;1827
Bhutan;575
Luxembourg;902
Montenegro;1545
Suriname;236
Malta;496
Maldives;222
Cape Verde;1506
Brunei;405
Belize;509
Bahamas;261
Iceland;1249
Vanuatu;1631
Barbados;467
Sao Tome and Principe;115
Samoa;1218
Saint Lucia;677
Guam;1708
Kiribati;1729
Seychelles;577
Grenada;463
Micronesia;2017
Tonga;464
Saint Vincent and the Grenadines;619
Antigua and Barbuda;138
United States Virgin Islands;702
Andorra;789
Dominica;423
Bermuda;399
Greenland;5962
Saint Kitts and Nevis;285
American Samoa;804
Northern Mariana Islands;1559
Monaco;1542
Marshall Islands;2004
San Marino;759
Palau;1499
Cook Islands;917
Nauru;2355
Tuvalu;1649
Tokelau;1583
Niue;1559
